"feature with direction by activity and by subject" "feature with direction" "activity" "subject" "average of means" "average of standard deviations"
"acceleration of body x sitting 3" "acceleration of body in direction x" "sitting" "3" "0.257197599134615" "-0.971010120961538"
"acceleration of body x sitting 4" "acceleration of body in direction x" "sitting" "4" "0.27153827992" "-0.980309931"
"acceleration of body x sitting 5" "acceleration of body in direction x" "sitting" "5" "0.273694139545455" "-0.980945022045455"
"acceleration of body x sitting 6" "acceleration of body in direction x" "sitting" "6" "0.276778487454545" "-0.980164933636364"
"acceleration of body x sitting 7" "acceleration of body in direction x" "sitting" "7" "0.284674637291667" "-0.972668374583333"
"acceleration of body x sitting 8" "acceleration of body in direction x" "sitting" "8" "0.267491472934783" "-0.979026152391304"
"acceleration of body x sitting 9" "acceleration of body in direction x" "sitting" "9" "0.24832674354" "-0.9572277914"
"acceleration of body x sitting 10" "acceleration of body in direction x" "sitting" "10" "0.270612056481481" "-0.982901825925926"
"acceleration of body x sitting 11" "acceleration of body in direction x" "sitting" "11" "0.276590197358491" "-0.982796562075472"
"acceleration of body x sitting 12" "acceleration of body in direction x" "sitting" "12" "0.275007224901961" "-0.982568781960784"
"acceleration of body x sitting 13" "acceleration of body in direction x" "sitting" "13" "0.274328499591837" "-0.989546275306122"
"acceleration of body x sitting 14" "acceleration of body in direction x" "sitting" "14" "0.279990577037037" "-0.976302248148148"
"acceleration of body x sitting 15" "acceleration of body in direction x" "sitting" "15" "0.27290337979661" "-0.987084356101695"
"acceleration of body x sitting 16" "acceleration of body in direction x" "sitting" "16" "0.280768574492754" "-0.986825605362319"
"acceleration of body x sitting 17" "acceleration of body in direction x" "sitting" "17" "0.2773570196875" "-0.9944439053125"
"acceleration of body x sitting 18" "acceleration of body in direction x" "sitting" "18" "0.27727001877193" "-0.994347988596491"
"acceleration of body x sitting 19" "acceleration of body in direction x" "sitting" "19" "0.273830316164384" "-0.976357663013699"
"acceleration of body x sitting 20" "acceleration of body in direction x" "sitting" "20" "0.278045439090909" "-0.983081858939394"
"acceleration of body x sitting 21" "acceleration of body in direction x" "sitting" "21" "0.277539616823529" "-0.991777287176471"
"acceleration of body x sitting 22" "acceleration of body in direction x" "sitting" "22" "0.273583822709677" "-0.978466823709677"
"acceleration of body x sitting 23" "acceleration of body in direction x" "sitting" "23" "0.273351251617647" "-0.987607636617647"
"acceleration of body x sitting 24" "acceleration of body in direction x" "sitting" "24" "0.273475690147059" "-0.990593766617647"
"acceleration of body x sitting 25" "acceleration of body in direction x" "sitting" "25" "0.278541482461538" "-0.991892828615385"
"acceleration of body x sitting 26" "acceleration of body in direction x" "sitting" "26" "0.258243530166667" "-0.979768987948718"
"acceleration of body x sitting 27" "acceleration of body in direction x" "sitting" "27" "0.273941302571429" "-0.988580107714286"
"acceleration of body x sitting 28" "acceleration of body in direction x" "sitting" "28" "0.276977629444444" "-0.983272806805556"
"acceleration of body x sitting 29" "acceleration of body in direction x" "sitting" "29" "0.2771799775" "-0.9907450195"
"acceleration of body x sitting 30" "acceleration of body in direction x" "sitting" "30" "0.268336081379032" "-0.983622744193548"
"acceleration of body x standing 1" "acceleration of body in direction x" "standing" "1" "0.278917629056604" "-0.995759901509434"
"acceleration of body x standing 2" "acceleration of body in direction x" "standing" "2" "0.277911472222222" "-0.987271889259259"
"acceleration of body x standing 3" "acceleration of body in direction x" "standing" "3" "0.280046513278689" "-0.96674254295082"
"acceleration of body x standing 4" "acceleration of body in direction x" "standing" "4" "0.280499745892857" "-0.97692058"
"acceleration of body x standing 5" "acceleration of body in direction x" "standing" "5" "0.282544390892857" "-0.968591815714286"
"acceleration of body x standing 6" "acceleration of body in direction x" "standing" "6" "0.280346248596491" "-0.981758159649123"
"acceleration of body x standing 7" "acceleration of body in direction x" "standing" "7" "0.282723539433962" "-0.979307570377358"
"acceleration of body x standing 8" "acceleration of body in direction x" "standing" "8" "0.279620986111111" "-0.988815418148148"
"acceleration of body x standing 9" "acceleration of body in direction x" "standing" "9" "0.282310057333333" "-0.975741252444444"
"acceleration of body x standing 10" "acceleration of body in direction x" "standing" "10" "0.276650300681818" "-0.978403481818182"
"acceleration of body x standing 11" "acceleration of body in direction x" "standing" "11" "0.277715562765957" "-0.994978878723404"
"acceleration of body x standing 12" "acceleration of body in direction x" "standing" "12" "0.277405834918033" "-0.981243992459016"
"acceleration of body x standing 13" "acceleration of body in direction x" "standing" "13" "0.277758431052632" "-0.991020759298246"
"acceleration of body x standing 14" "acceleration of body in direction x" "standing" "14" "0.280545613833333" "-0.973268905"
"acceleration of body x standing 15" "acceleration of body in direction x" "standing" "15" "0.278915803962264" "-0.988949247358491"
"acceleration of body x standing 16" "acceleration of body in direction x" "standing" "16" "0.283497402948718" "-0.989076811794872"
"acceleration of body x standing 17" "acceleration of body in direction x" "standing" "17" "0.277942503333333" "-0.991163919871795"
"acceleration of body x standing 18" "acceleration of body in direction x" "standing" "18" "0.278458805890411" "-0.992019762739726"
"acceleration of body x standing 19" "acceleration of body in direction x" "standing" "19" "0.27817226" "-0.989910996849315"
"acceleration of body x standing 20" "acceleration of body in direction x" "standing" "20" "0.278076904657534" "-0.967209961232877"
"acceleration of body x standing 21" "acceleration of body in direction x" "standing" "21" "0.27695224258427" "-0.981419961123596"
"acceleration of body x standing 22" "acceleration of body in direction x" "standing" "22" "0.279053861587302" "-0.985000527142857"
"acceleration of body x standing 23" "acceleration of body in direction x" "standing" "23" "0.277899323235294" "-0.985421519558824"
"acceleration of body x standing 24" "acceleration of body in direction x" "standing" "24" "0.280348883913043" "-0.98725587115942"
"acceleration of body x standing 25" "acceleration of body in direction x" "standing" "25" "0.278013701621622" "-0.991970126756757"
"acceleration of body x standing 26" "acceleration of body in direction x" "standing" "26" "0.281127035405405" "-0.993069368783784"
"acceleration of body x standing 27" "acceleration of body in direction x" "standing" "27" "0.279566921625" "-0.9919515835"
"acceleration of body x standing 28" "acceleration of body in direction x" "standing" "28" "0.277795069113924" "-0.977748638607595"
"acceleration of body x standing 29" "acceleration of body in direction x" "standing" "29" "0.277965065846154" "-0.996068635384615"
"acceleration of body x standing 30" "acceleration of body in direction x" "standing" "30" "0.277112699152542" "-0.977559426949153"
"acceleration of body x walking 1" "acceleration of body in direction x" "walking" "1" "0.277330758736842" "-0.283740258842105"
"acceleration of body x walking 2" "acceleration of body in direction x" "walking" "2" "0.276426586440678" "-0.423642838474576"
"acceleration of body x walking 3" "acceleration of body in direction x" "walking" "3" "0.275567462068966" "-0.360356726034483"
"acceleration of body x walking 4" "acceleration of body in direction x" "walking" "4" "0.278582015166667" "-0.440829971333333"
"acceleration of body x walking 5" "acceleration of body in direction x" "walking" "5" "0.27784234625" "-0.294098534232143"
"acceleration of body x walking 6" "acceleration of body in direction x" "walking" "6" "0.283658868070175" "-0.296538717368421"
"acceleration of body x walking 7" "acceleration of body in direction x" "walking" "7" "0.275592961754386" "-0.327243240701754"
"acceleration of body x walking 8" "acceleration of body in direction x" "walking" "8" "0.27468631" "-0.173605736002083"
"acceleration of body x walking 9" "acceleration of body in direction x" "walking" "9" "0.278502842115385" "-0.238353562692308"
"acceleration of body x walking 10" "acceleration of body in direction x" "walking" "10" "0.278574076603774" "-0.178709734396226"
"acceleration of body x walking 11" "acceleration of body in direction x" "walking" "11" "0.271821892881356" "-0.422842071864407"
"acceleration of body x walking 12" "acceleration of body in direction x" "walking" "12" "0.2771286656" "-0.128898533096"
"acceleration of body x walking 13" "acceleration of body in direction x" "walking" "13" "0.275883130350877" "-0.346980394210526"
"acceleration of body x walking 14" "acceleration of body in direction x" "walking" "14" "0.271959598644068" "-0.402639098135593"
"acceleration of body x walking 15" "acceleration of body in direction x" "walking" "15" "0.273899207962963" "-0.327961801111111"
"acceleration of body x walking 16" "acceleration of body in direction x" "walking" "16" "0.276023564509804" "-0.404692523921569"
"acceleration of body x walking 17" "acceleration of body in direction x" "walking" "17" "0.272341855245902" "-0.31950017295082"
"acceleration of body x walking 18" "acceleration of body in direction x" "walking" "18" "0.273887758571429" "-0.37600552125"
"acceleration of body x walking 19" "acceleration of body in direction x" "walking" "19" "0.273931172307692" "-0.0489049407963462"
"acceleration of body x walking 20" "acceleration of body in direction x" "walking" "20" "0.272589336470588" "-0.208342792019608"
"acceleration of body x walking 21" "acceleration of body in direction x" "walking" "21" "0.279183526730769" "-0.297814843538462"
"acceleration of body x walking 22" "acceleration of body in direction x" "walking" "22" "0.27886459" "-0.00865921919565217"
"acceleration of body x walking 23" "acceleration of body in direction x" "walking" "23" "0.273211884237288" "-0.313521773389831"
"acceleration of body x walking 24" "acceleration of body in direction x" "walking" "24" "0.276980816034483" "-0.47076236637931"
"acceleration of body x walking 25" "acceleration of body in direction x" "walking" "25" "0.278992759054054" "-0.596007443513514"
"acceleration of body x walking 26" "acceleration of body in direction x" "walking" "26" "0.279264443728814" "-0.340185527559322"
"acceleration of body x walking 27" "acceleration of body in direction x" "walking" "27" "0.276849485438596" "-0.348475560526316"
"acceleration of body x walking 28" "acceleration of body in direction x" "walking" "28" "0.281228223888889" "-0.293003522222222"
"acceleration of body x walking 29" "acceleration of body in direction x" "walking" "29" "0.271999916792453" "-0.174337940226415"
"acceleration of body x walking 30" "acceleration of body in direction x" "walking" "30" "0.276406758" "-0.346394275230769"
"acceleration of body x walkingdownstairs 1" "acceleration of body in direction x" "walkingdownstairs" "1" "0.289188320408163" "0.0300353383483878"
"acceleration of body x walkingdownstairs 2" "acceleration of body in direction x" "walkingdownstairs" "2" "0.27761534806383" "0.0463666814446808"
"acceleration of body x walkingdownstairs 3" "acceleration of body in direction x" "walkingdownstairs" "3" "0.292423484693878" "-0.0574100475102041"
"acceleration of body x walkingdownstairs 4" "acceleration of body in direction x" "walkingdownstairs" "4" "0.279965329555556" "0.0111935496222222"
"acceleration of body x walkingdownstairs 5" "acceleration of body in direction x" "walkingdownstairs" "5" "0.29354392712766" "0.275046110468085"
"acceleration of body x walkingdownstairs 6" "acceleration of body in direction x" "walkingdownstairs" "6" "0.277045258145833" "0.383681639791667"
"acceleration of body x walkingdownstairs 7" "acceleration of body in direction x" "walkingdownstairs" "7" "0.28030708" "0.0660815600978723"
"acceleration of body x walkingdownstairs 8" "acceleration of body in direction x" "walkingdownstairs" "8" "0.283484089210526" "0.0241393473736842"
"acceleration of body x walkingdownstairs 9" "acceleration of body in direction x" "walkingdownstairs" "9" "0.295923445" "0.213392270547619"
"acceleration of body x walkingdownstairs 10" "acceleration of body in direction x" "walkingdownstairs" "10" "0.290401594315789" "0.295733547631579"
"acceleration of body x walkingdownstairs 11" "acceleration of body in direction x" "walkingdownstairs" "11" "0.291605631956522" "0.142456557034783"
"acceleration of body x walkingdownstairs 12" "acceleration of body in direction x" "walkingdownstairs" "12" "0.281521097391304" "0.0424084916086956"
"acceleration of body x walkingdownstairs 13" "acceleration of body in direction x" "walkingdownstairs" "13" "0.294907553404255" "-0.0681563626617021"
"acceleration of body x walkingdownstairs 14" "acceleration of body in direction x" "walkingdownstairs" "14" "0.293422115555556" "0.0178313402266667"
"acceleration of body x walkingdownstairs 15" "acceleration of body in direction x" "walkingdownstairs" "15" "0.280198851190476" "0.406471051190476"
"acceleration of body x walkingdownstairs 16" "acceleration of body in direction x" "walkingdownstairs" "16" "0.295586802191489" "0.207251997929787"
"acceleration of body x walkingdownstairs 17" "acceleration of body in direction x" "walkingdownstairs" "17" "0.29391828326087" "0.187719760269565"
"acceleration of body x walkingdownstairs 18" "acceleration of body in direction x" "walkingdownstairs" "18" "0.288439468909091" "-0.302634565090909"
"acceleration of body x walkingdownstairs 19" "acceleration of body in direction x" "walkingdownstairs" "19" "0.262688053871795" "0.626917070512821"
"acceleration of body x walkingdownstairs 20" "acceleration of body in direction x" "walkingdownstairs" "20" "0.296144421355556" "0.0745098785288889"
"acceleration of body x walkingdownstairs 21" "acceleration of body in direction x" "walkingdownstairs" "21" "0.3014610196" "0.224343492244444"
"acceleration of body x walkingdownstairs 22" "acceleration of body in direction x" "walkingdownstairs" "22" "0.284458963861111" "0.348618168333333"
"acceleration of body x walkingdownstairs 23" "acceleration of body in direction x" "walkingdownstairs" "23" "0.289897411148148" "0.0441392843425926"
"acceleration of body x walkingdownstairs 24" "acceleration of body in direction x" "walkingdownstairs" "24" "0.288631208909091" "-0.08273248054"
"acceleration of body x walkingdownstairs 25" "acceleration of body in direction x" "walkingdownstairs" "25" "0.291329666206897" "-0.253756934258621"
"acceleration of body x walkingdownstairs 26" "acceleration of body in direction x" "walkingdownstairs" "26" "0.2792845828" "0.17395384962"
"acceleration of body x walkingdownstairs 27" "acceleration of body in direction x" "walkingdownstairs" "27" "0.2975441875" "0.167407531090909"
"acceleration of body x walkingdownstairs 28" "acceleration of body in direction x" "walkingdownstairs" "28" "0.293642076521739" "0.125712887943478"
"acceleration of body x walkingdownstairs 29" "acceleration of body in direction x" "walkingdownstairs" "29" "0.293140441083333" "0.167383602458333"
"acceleration of body x walkingdownstairs 30" "acceleration of body in direction x" "walkingdownstairs" "30" "0.283190646967742" "-0.0577703163548387"
"acceleration of body x walkingupstairs 1" "acceleration of body in direction x" "walkingupstairs" "1" "0.255461689622641" "-0.35470802509434"
"acceleration of body x walkingupstairs 2" "acceleration of body in direction x" "walkingupstairs" "2" "0.247164790395833" "-0.304376406458333"
"acceleration of body x walkingupstairs 3" "acceleration of body in direction x" "walkingupstairs" "3" "0.260819873067797" "-0.313123437627119"
"acceleration of body x walkingupstairs 4" "acceleration of body in direction x" "walkingupstairs" "4" "0.270876696730769" "-0.204933042903846"
"acceleration of body x walkingupstairs 5" "acceleration of body in direction x" "walkingupstairs" "5" "0.268459469914894" "-0.0457237779851064"
"acceleration of body x walkingupstairs 6" "acceleration of body in direction x" "walkingupstairs" "6" "0.268229355098039" "-0.0501350188513725"
"acceleration of body x walkingupstairs 7" "acceleration of body in direction x" "walkingupstairs" "7" "0.248706923078431" "-0.29487297445098"
"acceleration of body x walkingupstairs 8" "acceleration of body in direction x" "walkingupstairs" "8" "0.258880152048781" "-0.171712174634146"
"acceleration of body x walkingupstairs 9" "acceleration of body in direction x" "walkingupstairs" "9" "0.262436475714286" "-0.36144437755102"
"acceleration of body x walkingupstairs 10" "acceleration of body in direction x" "walkingupstairs" "10" "0.267121853404255" "-0.161591924234043"
"acceleration of body x walkingupstairs 11" "acceleration of body in direction x" "walkingupstairs" "11" "0.263775859277778" "-0.238802959018519"
"acceleration of body x walkingupstairs 12" "acceleration of body in direction x" "walkingupstairs" "12" "0.272970338653846" "-0.290149192307692"
"acceleration of body x walkingupstairs 13" "acceleration of body in direction x" "walkingupstairs" "13" "0.258203939581818" "-0.296284597454545"
"acceleration of body x walkingupstairs 14" "acceleration of body in direction x" "walkingupstairs" "14" "0.26242106612963" "-0.309396717592593"
"acceleration of body x walkingupstairs 15" "acceleration of body in direction x" "walkingupstairs" "15" "0.270187595833333" "-0.0260971840270833"
"acceleration of body x walkingupstairs 16" "acceleration of body in direction x" "walkingupstairs" "16" "0.255986102627451" "-0.397083831568627"
"acceleration of body x walkingupstairs 17" "acceleration of body in direction x" "walkingupstairs" "17" "0.252604768583333" "-0.062952754100625"
"acceleration of body x walkingupstairs 18" "acceleration of body in direction x" "walkingupstairs" "18" "0.265401201896552" "-0.380168286724138"
"acceleration of body x walkingupstairs 19" "acceleration of body in direction x" "walkingupstairs" "19" "0.242118808925" "-0.1287420952375"
"acceleration of body x walkingupstairs 20" "acceleration of body in direction x" "walkingupstairs" "20" "0.252098317156863" "-0.116088676011765"
"acceleration of body x walkingupstairs 21" "acceleration of body in direction x" "walkingupstairs" "21" "0.265194544680851" "-0.240808282276596"
"acceleration of body x walkingupstairs 22" "acceleration of body in direction x" "walkingupstairs" "22" "0.248391534566667" "0.0835738640921429"
"acceleration of body x walkingupstairs 23" "acceleration of body in direction x" "walkingupstairs" "23" "0.249995171031373" "-0.243887818513725"
"acceleration of body x walkingupstairs 24" "acceleration of body in direction x" "walkingupstairs" "24" "0.269881106779661" "-0.344399351355932"
"acceleration of body x walkingupstairs 25" "acceleration of body in direction x" "walkingupstairs" "25" "0.277995411384615" "-0.459775646153846"
"acceleration of body x walkingupstairs 26" "acceleration of body in direction x" "walkingupstairs" "26" "0.272691394545455" "-0.169006952418182"
"acceleration of body x walkingupstairs 27" "acceleration of body in direction x" "walkingupstairs" "27" "0.265770253921569" "-0.295439547254902"
"acceleration of body x walkingupstairs 28" "acceleration of body in direction x" "walkingupstairs" "28" "0.262005841764706" "-0.242062430294118"
"acceleration of body x walkingupstairs 29" "acceleration of body in direction x" "walkingupstairs" "29" "0.265423066877551" "-0.0867715569693878"
"acceleration of body x walkingupstairs 30" "acceleration of body in direction x" "walkingupstairs" "30" "0.271415642261538" "-0.350504475230769"
"acceleration of body y laying 1" "acceleration of body in direction y" "laying" "1" "-0.0405139534294" "-0.83682740562"
"acceleration of body y laying 2" "acceleration of body in direction y" "laying" "2" "-0.0181587397583333" "-0.98027739875"
"acceleration of body y laying 3" "acceleration of body in direction y" "laying" "3" "-0.0189556785048387" "-0.962057544516129"
"acceleration of body y laying 4" "acceleration of body in direction y" "laying" "4" "-0.0150031841055556" "-0.941714042407407"
"acceleration of body y laying 5" "acceleration of body in direction y" "laying" "5" "-0.0183042123269231" "-0.969295613269231"
"acceleration of body y laying 6" "acceleration of body in direction y" "laying" "6" "-0.0102529170561404" "-0.924644826385965"
"acceleration of body y laying 7" "acceleration of body in direction y" "laying" "7" "-0.0204411516884615" "-0.926262668653846"
"acceleration of body y laying 8" "acceleration of body in direction y" "laying" "8" "-0.0212281733881481" "-0.93489116"
"acceleration of body y laying 9" "acceleration of body in direction y" "laying" "9" "-0.020526821662" "-0.9162927764"
"acceleration of body y laying 10" "acceleration of body in direction y" "laying" "10" "-0.024294484137931" "-0.946454302068966"
"acceleration of body y laying 11" "acceleration of body in direction y" "laying" "11" "-0.0176598052315789" "-0.972196873859649"
"acceleration of body y laying 12" "acceleration of body in direction y" "laying" "12" "-0.0175203917146667" "-0.949072009333333"
"acceleration of body y laying 13" "acceleration of body in direction y" "laying" "13" "-0.020440454366129" "-0.950947949516129"
"acceleration of body y laying 14" "acceleration of body in direction y" "laying" "14" "-0.0113424652490196" "-0.909697040980392"
"acceleration of body y laying 15" "acceleration of body in direction y" "laying" "15" "-0.0166296542054167" "-0.962759422361111"
"acceleration of body y laying 16" "acceleration of body in direction y" "laying" "16" "-0.0166103510562857" "-0.943061150285714"
"acceleration of body y laying 17" "acceleration of body in direction y" "laying" "17" "-0.0168462006729577" "-0.944792875211268"
"acceleration of body y laying 18" "acceleration of body in direction y" "laying" "18" "-0.0173937684615385" "-0.986160920923077"
"acceleration of body y laying 19" "acceleration of body in direction y" "laying" "19" "-0.0171426864421687" "-0.973449968554217"
"acceleration of body y laying 20" "acceleration of body in direction y" "laying" "20" "-0.0144406281132353" "-0.964098180294118"
"acceleration of body y laying 21" "acceleration of body in direction y" "laying" "21" "-0.0184233048415556" "-0.956959422222222"
"acceleration of body y laying 22" "acceleration of body in direction y" "laying" "22" "-0.0142629864502778" "-0.913276301666667"
"acceleration of body y laying 23" "acceleration of body in direction y" "laying" "23" "-0.0216553835833333" "-0.976309827361111"
"acceleration of body y laying 24" "acceleration of body in direction y" "laying" "24" "-0.0173555210111111" "-0.983126461944444"
"acceleration of body y laying 25" "acceleration of body in direction y" "laying" "25" "-0.0188943663671233" "-0.691770680561644"
"acceleration of body y laying 26" "acceleration of body in direction y" "laying" "26" "-0.0191895728026316" "-0.983231351842105"
"acceleration of body y laying 27" "acceleration of body in direction y" "laying" "27" "-0.0179867611216216" "-0.983736043783784"
"acceleration of body y laying 28" "acceleration of body in direction y" "laying" "28" "-0.0167537858225" "-0.945386780375"
"acceleration of body y laying 29" "acceleration of body in direction y" "laying" "29" "-0.0171965484202899" "-0.990240946666667"
"acceleration of body y laying 30" "acceleration of body in direction y" "laying" "30" "-0.0194494098614286" "-0.954201823857143"
"acceleration of body y sitting 1" "acceleration of body in direction y" "sitting" "1" "-0.00130828765170213" "-0.922618641914894"
"acceleration of body y sitting 2" "acceleration of body in direction y" "sitting" "2" "-0.0156879937282609" "-0.950704499130435"
"acceleration of body y sitting 3" "acceleration of body in direction y" "sitting" "3" "-0.00350299841730769" "-0.856617812115385"
"acceleration of body y sitting 4" "acceleration of body in direction y" "sitting" "4" "-0.007163065158" "-0.89022398108"
"acceleration of body y sitting 5" "acceleration of body in direction y" "sitting" "5" "-0.00990083527045455" "-0.904335121022727"
"acceleration of body y sitting 6" "acceleration of body in direction y" "sitting" "6" "-0.0145911615290909" "-0.923682131090909"
"acceleration of body y sitting 7" "acceleration of body in direction y" "sitting" "7" "-0.01461097580375" "-0.909454698541667"
"acceleration of body y sitting 8" "acceleration of body in direction y" "sitting" "8" "-0.00672550621304348" "-0.927331997021739"
"acceleration of body y sitting 9" "acceleration of body in direction y" "sitting" "9" "-0.02701677698" "-0.875141405"
"acceleration of body y sitting 10" "acceleration of body in direction y" "sitting" "10" "-0.015042681852037" "-0.917979529962963"
"acceleration of body y sitting 11" "acceleration of body in direction y" "sitting" "11" "-0.0149195616754717" "-0.921402118113208"
"acceleration of body y sitting 12" "acceleration of body in direction y" "sitting" "12" "-0.0157892988523529" "-0.92858124"
"acceleration of body y sitting 13" "acceleration of body in direction y" "sitting" "13" "-0.00587732936326531" "-0.938967741632653"
"acceleration of body y sitting 14" "acceleration of body in direction y" "sitting" "14" "-0.00870565463888889" "-0.914935703907407"
"acceleration of body y sitting 15" "acceleration of body in direction y" "sitting" "15" "-0.0117188472271186" "-0.922407162881356"
"acceleration of body y sitting 16" "acceleration of body in direction y" "sitting" "16" "-0.0102497939956522" "-0.951607872463768"
"acceleration of body y sitting 17" "acceleration of body in direction y" "sitting" "17" "-0.014156274084375" "-0.96185862984375"
"acceleration of body y sitting 18" "acceleration of body in direction y" "sitting" "18" "-0.0128691279736842" "-0.974928131052632"
"acceleration of body y sitting 19" "acceleration of body in direction y" "sitting" "19" "-0.016739260030137" "-0.950388943972603"
"acceleration of body y sitting 20" "acceleration of body in direction y" "sitting" "20" "-0.0147229305131818" "-0.93612270469697"
"acceleration of body y sitting 21" "acceleration of body in direction y" "sitting" "21" "-0.0144009705494118" "-0.966877560941176"
"acceleration of body y sitting 22" "acceleration of body in direction y" "sitting" "22" "-0.0123468446419355" "-0.928059133795645"
"acceleration of body y sitting 23" "acceleration of body in direction y" "sitting" "23" "-0.0133945015676471" "-0.934933559264706"
"acceleration of body y sitting 24" "acceleration of body in direction y" "sitting" "24" "-0.0131255097938235" "-0.956255962058824"
"acceleration of body y sitting 25" "acceleration of body in direction y" "sitting" "25" "-0.0147696808030769" "-0.947457617061538"
"acceleration of body y sitting 26" "acceleration of body in direction y" "sitting" "26" "-0.00713364541358974" "-0.94079896551282"
"acceleration of body y sitting 27" "acceleration of body in direction y" "sitting" "27" "-0.0155269799285714" "-0.971579125714286"
"acceleration of body y sitting 28" "acceleration of body in direction y" "sitting" "28" "-0.0185404441258333" "-0.939905244861111"
"acceleration of body y sitting 29" "acceleration of body in direction y" "sitting" "29" "-0.016630680375" "-0.963222497833333"
"acceleration of body y sitting 30" "acceleration of body in direction y" "sitting" "30" "-0.00804731295322581" "-0.937857000806452"
"acceleration of body y standing 1" "acceleration of body in direction y" "standing" "1" "-0.0161375901037736" "-0.973190056415094"
"acceleration of body y standing 2" "acceleration of body in direction y" "standing" "2" "-0.0184208270166667" "-0.957304989259259"
"acceleration of body y standing 3" "acceleration of body in direction y" "standing" "3" "-0.0143376555065574" "-0.893449307213115"
"acceleration of body y standing 4" "acceleration of body in direction y" "standing" "4" "-0.00948911098553571" "-0.86159737875"
"acceleration of body y standing 5" "acceleration of body in direction y" "standing" "5" "-0.00700418554517857" "-0.869439913392857"
"acceleration of body y standing 6" "acceleration of body in direction y" "standing" "6" "-0.0181236327175439" "-0.921493191754386"
"acceleration of body y standing 7" "acceleration of body in direction y" "standing" "7" "-0.0145740341037736" "-0.923400921886792"
"acceleration of body y standing 8" "acceleration of body in direction y" "standing" "8" "-0.0148113067148148" "-0.938479429074074"
"acceleration of body y standing 9" "acceleration of body in direction y" "standing" "9" "-0.0200454954022222" "-0.938635759333333"
"acceleration of body y standing 10" "acceleration of body in direction y" "standing" "10" "-0.0155418603409091" "-0.919561843409091"
"acceleration of body y standing 11" "acceleration of body in direction y" "standing" "11" "-0.0171990886595745" "-0.964173331702128"
